Pi Runtimes
Version  pi_v1
Runtime, PI
20376476561, 3.14159265335777337924
84169902877, 3.12690075740227824141
73818266758, 3.11569521325942888623
66477126210, 3.10747430431665438988

Version  pi_v2
Runtime, PI
28491966884, 3.14159265335777337924
109998144028, 3.14159265335773385530
156971407655, 3.14159265335777382333
286994843386, 3.14159265335775783612

Version  pi_v3
Runtime, PI
64188699420, 3.14159265335777337924
233030880653, 3.14159265335775828021
233883066742, 3.14159265335768056460
272987235292, 3.14159265335753756787

Version  pi_v4
Runtime, PI
21063172396, 3.14159265335777337924
29599568896, 3.14159265335772097671
21646843651, 3.14159265335768012051
14540358983, 3.14159265335775961248

Version  pi_v5
Runtime, PI
20380933446, 3.14159265335777337924
10392273461, 3.14159265335772097671
5157999924, 3.14159265335768012051
2702975737, 3.14159265335775961248

